source_id,series_id,row_id,pixel_x,pixel_y,time_ps,normalized_signal,extraction_uncertainty,source_locator,series_mapping_status
ding_2022_fig1d_digitized,red_trace,red_trace:449,449,453.5,290.657439,-0.04285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:450,450,455.0,294.809689,-0.05142857,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:451,451,457.0,298.961938,-0.06285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:452,452,457.5,303.114187,-0.06571429,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:453,453,458.0,307.266436,-0.06857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:454,454,460.5,311.418685,-0.08285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:455,455,465.0,315.570934,-0.10857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:456,456,463.0,319.723183,-0.09714286,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:457,457,463.5,323.875433,-0.1,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:458,458,464.0,328.027682,-0.10285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:459,459,466.0,332.179931,-0.11428571,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
