time_normalized,thermal_force_normalized,fourier_response_normalized,cattaneo_reference_normalized,cattaneo_numeric_normalized,linear_phi_response_normalized,nonlinear_C,nonlinear_Phi,nonlinear_Pi,trace_source_nonnegative,trace_observable_normalized,extended_energy_normalized,actual_delta_normalized,predicted_delta_normalized,ledger_closure_relative
12.440000000000001,0.09463612826616005,0.09463612826615829,0.23859454063608507,0.23859449424484114,0.35310146890186206,0.14220068931284774,0.37596735432658646,-0.06044404511725654,0.5179921404472362,0.5224040059512072,0.06457750829770931,-4.926220435880202e-07,-4.926220397489626e-07,7.793109674063619e-09
12.450000000000001,0.0871671971575525,0.0871671971575525,0.23138997705790604,0.23138993164309257,0.3522764256741701,0.14204175255857016,0.3753523466012682,-0.0625566952773869,0.5200052560546453,0.5254327382673774,0.06447731210792593,-5.092370879561381e-07,-5.092370840499806e-07,7.67060675356457e-09
12.46,0.07969336291708834,0.07969336291708834,0.22417239785452675,0.22417235341869998,0.35143156699041894,0.14187702199998706,0.37471623669810367,-0.06466446054809206,0.521742938659814,0.5282141735583777,0.06437380492840737,-5.257318235335484e-07,-5.257318195685999e-07,7.541770049136386e-09
12.47,0.07221504594597293,0.07221504594597293,0.21694220901287595,0.21694216555853546,0.3505669403736871,0.14170650082968977,0.374059074068425,-0.06676722060957724,0.5234806212649827,0.5309956088493781,0.06426701125317635,-5.421019555057471e-07,-5.421019514851874e-07,7.416611740222175e-09
12.48,0.06473266689756411,0.06473266689756589,0.20969981722917136,0.20969977475875973,0.3496825944589938,0.14153019259555707,0.3733809093617204,-0.0688648561511232,0.5252183038701513,0.5337770441403786,0.06415695643132659,-5.58343228054814e-07,-5.583432239720365e-07,7.31230767887076e-09
12.49,0.057246646653712235,0.057246646653712235,0.2024456298860378,0.20244558840194563,0.34877857899056336,0.14134810120102745,0.37268179441551585,-0.07095724887744846,0.52695598647532,0.536558479431379,0.06404366665906747,-5.74451425885969e-07,-5.744514217663454e-07,7.17140463627688e-09
12.5,0.04975740630107862,0.04975740630107862,0.1951800550296022,0.19518001453416303,0.34785494481902757,0.1411602309053474,0.3719617822451873,-0.0730442815146206,0.5286936690804888,0.5393399147223794,0.06392716897145372,-5.904223759206628e-07,-5.904223717198649e-07,7.114903048979144e-09
12.51,0.042265367107460164,0.042265367107460164,0.18790350134653463,0.18790346184202628,0.34691174389856516,0.14096658632379472,0.37122092703371784,-0.07512583781551788,0.5301461487996844,0.5418584147471857,0.06380749123380845,-6.062519486010887e-07,-6.062519443243111e-07,7.054455773733235e-09
12.520000000000001,0.03477095049808608,0.03477095049808608,0.18061637814106107,0.18061633962970433,0.34594902928397914,0.1407671724278773,0.37045928412141005,-0.07720180256484233,0.5315986285188802,0.5443769147719923,0.06368466213284561,-6.21936059541639e-07,-6.219360552116367e-07,6.9621341042781925e-09
12.530000000000001,0.027274578031914583,0.027274578031914583,0.17331909531194042,0.17331905779590287,0.3449668551277127,0.14056199454550833,0.36967690999554037,-0.07927206158368645,0.5330511082380758,0.5468954147967986,0.06355871116749216,-6.374706710138289e-07,-6.374706666283615e-07,6.879481127397579e-09
