country_code,year,EG.USE.PCAP.KG.OE,NY.GDP.PCAP.KD,NY.GDP.PCAP.PP.KD,SP.POP.TOTL
GW,2009,,608.202131879882,2103.05813454823,1526377.0
GW,2010,,625.904027290582,2164.26823755351,1566347.0
GW,2011,,658.953470528116,2278.54751544448,1608076.0
GW,2012,,630.66862302825,2180.74338832775,1651417.0
GW,2013,,634.095456089352,2192.5927863603,1695973.0
GW,2014,,623.610159103365,2156.33643676255,1741122.0
GW,2015,,645.066837207039,2230.52993109779,1786457.0
GW,2016,,663.242608032005,2293.37861360238,1831893.0
GW,2017,,677.466131311367,2342.56110535416,1877072.0
GW,2018,,686.456819839526,2373.64935653455,1922168.0
GW,2019,,706.298562874985,2442.25868377476,1967696.0
GW,2020,,710.275830755611,2456.01139053324,2013255.0
GW,2021,,729.396882757942,2522.12869240841,2058841.0
GW,2022,,752.149255217249,2600.802474483,2105529.0
GW,2023,,769.504652461795,2660.81444655656,2153339.0
GW,2024,,785.91021956464,2717.54206972499,2201352.0
GY,2000,,3759.60789699989,8025.29326490962,764832.0
GY,2001,,3847.09461851367,8212.04321760917,764477.0
GY,2002,,3894.87107415198,8314.0272750321,763652.0
GY,2003,,3873.04123684261,8267.42910545363,763101.0
GY,2008,,4472.34517889699,9546.70875949436,754606.0
GY,2009,,4649.34144792756,9924.52660770631,752094.0
GY,2010,,4860.09110980566,10374.3947557656,749256.0
GY,2011,,5133.89539813637,10958.8598838438,746153.0
GY,2012,,5403.79899428921,11534.9985588659,746288.0
GY,2013,,5573.3421790463,11896.9069854942,750021.0
GY,2014,,5635.71704117947,12030.0529344045,754229.0
GY,2015,,5640.41560569466,12040.08253302,758781.0
GY,2016,,5818.61682204646,12420.4724727603,763548.0
GY,2017,,5997.18271426826,12801.6408529346,768479.0
GY,2018,,6080.90612132746,12980.3576003177,791556.0
GY,2019,,6278.63054079553,13402.4219472757,807665.0
GY,2020,,9010.61000469878,19234.1301977637,807481.0
GY,2021,,10711.9973374148,22865.9270968882,815482.0
GY,2022,,17365.3336428642,37068.1993827588,821637.0
GY,2023,,23101.3538282741,49312.3603225444,826353.0
GY,2024,,33034.948872927,70516.7027944836,831087.0
HK,2024,,44734.4365296835,66186.0448635456,7524100.0
HN,2024,,2575.32081187859,6590.84384301553,10825703.0
HR,2024,,17854.3262648378,42828.7997273569,3866200.0
HT,2024,,1154.68841945337,2783.79140882788,11772557.0
ID,2024,,4367.94741847938,14470.7179806578,283487931.0
IN,2024,,2366.8328910323,9416.05137044735,1450935791.0
IQ,2024,,4180.29619477317,12725.0431260364,46042015.0
IR,2024,,5834.44296939863,17484.1320140467,91567738.0
JM,2024,,6096.4327030963,11340.2638800451,2839175.0
JO,2024,,4441.03974922351,10468.265334284,11552876.0
KG,2024,,1423.58624650541,7210.57669830499,7221868.0
KH,2024,,2183.55682401667,7011.58146903703,17638801.0
KI,2000,,1555.58204812097,2481.73318329794,88613.0
KI,2001,,1477.95177621217,2357.88396425016,90335.0
KI,2002,,1467.99273241655,2341.99557733328,92264.0
KI,2003,,1415.54577869304,2258.32313744125,94175.0
KI,2008,,1361.83599775608,2172.63601744656,104222.0
KI,2009,,1340.27605600221,2138.23987425041,106467.0
KI,2010,,1328.78776438805,2119.91176706204,108704.0
KI,2011,,1348.0602369873,2150.65854434166,110647.0
KI,2012,,1405.5029344967,2242.30105765006,112284.0
KI,2013,,1493.49148676402,2382.67559474112,113838.0
KI,2014,,1492.8508200481,2381.65349253168,115326.0
KI,2015,,1639.85274740652,2616.17635911711,116815.0
KI,2016,,1731.43702001694,2762.28741039854,118478.0
KI,2017,,1768.87874841933,2822.02092296284,120275.0
KI,2018,,1802.34850714657,2875.41766341166,122084.0
KI,2019,,1834.42627824847,2926.59366475855,123921.0
KI,2020,,1779.62973024917,2839.17274622563,126099.0
KI,2021,,1895.61362957222,3024.21029665634,128377.0
KI,2022,,1960.15475844976,3127.17745381556,130469.0
KI,2023,,1990.14605922104,3175.02475728903,132530.0
KI,2024,,2052.81298774256,3275.00186630433,134518.0
KM,2000,,1150.82871091807,2917.87154106634,536080.0
KM,2001,,1188.50139049127,3013.38883096315,547220.0
KM,2002,,1217.11534330128,3085.93814937142,558923.0
KM,2003,,1216.98069479509,3085.59675447872,569798.0
KM,2008,,1235.97280465287,3133.75034704474,629307.0
KM,2009,,1250.90237145763,3171.6035546392,641947.0
KM,2010,,1272.60716208007,3226.63502045267,654836.0
KM,2011,,1299.11093449408,3293.83407668409,668056.0
KM,2012,,1313.58187559666,3330.52446059187,681630.0
KM,2013,,1343.54683280656,3406.49918649378,696192.0
