recipient_name,recipient_role,sec_cik,sec_ticker,sec_title,fiscal_year,subaward_rows_primary_year,subaward_amount_primary_year_usd,prime_transaction_rows_primary_year,prime_transaction_amount_primary_year_usd,net_income_usd,operating_cash_flow_usd,capex_raw_usd,debt_proceeds_usd,debt_repayments_raw_usd,common_dividends_raw_usd,cash_balance_usd,capex_outflow_scale_usd,debt_repayment_scale_usd,debt_net_issuance_scale_usd
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2020,0,0.0,0,0.0,345777000.0,604751000.0,61503000.0,,,,688087000.0,61503000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2021,0,0.0,0,0.0,988979000.0,729600000.0,74605000.0,,,,533298000.0,74605000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2022,0,0.0,0,0.0,590644000.0,904922000.0,94813000.0,,,,1088940000.0,94813000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2023,0,0.0,0,0.0,695955000.0,1100958000.0,65298000.0,,,,882325000.0,65298000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2024,0,0.0,0,0.0,848952000.0,1241894000.0,123215000.0,,,,1008152000.0,123215000.0,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2010,0,0.0,0,0.0,3557000000.0,4672000000.0,,,,953000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2011,0,0.0,0,0.0,,,,,,1029000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2012,0,0.0,0,0.0,,,,,,1084000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2013,0,0.0,0,0.0,,,,,,1159000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2014,0,0.0,0,0.0,,,,,,1617000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2015,0,0.0,0,0.0,,,,,,1111000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2016,0,0.0,0,0.0,,,,,,1620000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2017,0,0.0,0,0.0,,,,,,1757000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2018,0,0.0,0,0.0,,,,,,1799000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2019,0,0.0,0,0.0,,5706000000.0,,,,1831000000.0,,,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2020,0,0.0,0,0.0,,6558000000.0,1276000000.0,,,1951000000.0,,1276000000.0,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2021,0,0.0,0,0.0,,6912000000.0,1056000000.0,,,2132000000.0,9352000000.0,1056000000.0,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2022,0,0.0,0,0.0,,6327000000.0,978000000.0,,,2243000000.0,9254000000.0,978000000.0,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2023,0,0.0,0,0.0,,7198000000.0,1093000000.0,,,2332000000.0,7004000000.0,1093000000.0,,
CATERPILLAR INC,downstream_subaward,0000018230,CAT,CATERPILLAR INC,2024,0,0.0,0,0.0,,7766000000.0,1296000000.0,,,2440000000.0,6978000000.0,1296000000.0,,
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2010,3,406844.26,0,0.0,103871000.0,184350000.0,,180000000.0,157750000.0,,109945000.0,,157750000.0,22250000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2011,3,406844.26,0,0.0,82964000.0,161937000.0,,78000000.0,165250000.0,,140929000.0,,165250000.0,-87250000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2012,3,406844.26,0,0.0,96285000.0,205499000.0,,200000000.0,313627000.0,,116574000.0,,313627000.0,-113627000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2013,3,406844.26,0,0.0,136902000.0,255566000.0,,0.0,20156000.0,,120181000.0,,20156000.0,-20156000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2014,3,406844.26,0,0.0,165903000.0,279813000.0,,35000000.0,30000000.0,,142739000.0,,30000000.0,5000000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2015,3,406844.26,0,0.0,182801000.0,315654000.0,,205625000.0,205625000.0,,299852000.0,,205625000.0,0.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2016,3,406844.26,0,0.0,183766000.0,346779000.0,,400000000.0,200000000.0,,423990000.0,,200000000.0,200000000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2017,3,406844.26,0,0.0,175635000.0,345561000.0,,440000000.0,20000000.0,,474233000.0,,20000000.0,420000000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2018,3,406844.26,0,0.0,193582000.0,365632000.0,,715000000.0,835000000.0,,372976000.0,,835000000.0,-120000000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2019,3,406844.26,0,0.0,3279000.0,254517000.0,,3025000000.0,404438000.0,,474233000.0,,404438000.0,2620562000.0
