prime_award_id,prime_award_internal_id,subaward_id,subaward_number,action_date,action_fiscal_year_derived,amount_usd,recipient_name,description
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369235,200325,2025-06-05,2025,260431.0,GRM KONTRACTING LLC,1717-535 FL CRANE RAIL REPLACEMENT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369236,200324,2025-06-05,2025,84500.0,LOGISTICS365 INC,"VSEC: CMS, PERPETUAL SYSTEM LICENSE - RENEWAL"
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369575,200171,2025-06-05,2025,158995.0,MACHINERY WEST INC,RIGGING GEAR REQUEST 1211
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344968,200333,2025-06-06,2025,183926.0,"FLUOR MARINE PROPULSION, LLC","1717-541-A5, MBH, & H3 BUILDING AUTOMATION (BAS)"
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344977,200330,2025-06-09,2025,518136.0,"FLUOR MARINE PROPULSION, LLC",1717-531 MG COOLING TOWER REPLACEMENT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368881,200295,2025-06-09,2025,895000.0,THERMAL TECHNOLOGY LLC,CDL FURNACE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368925,200330,2025-06-09,2025,518136.0,FACILITY SUPPORT SERVICES LLC,1717-531 MG COOLING TOWER REPLACEMENT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369233,200067,2025-06-09,2025,120979.0,SUSTEMA CORP.,WORKSTATIONS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369309,200353,2025-06-09,2025,137768.0,MULTI-PHASE CONTRACTING CORP.,KS DOOR REPLACEMENT WA NO. 9
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344976,200344,2025-06-10,2025,78320.0,"FLUOR MARINE PROPULSION, LLC",SCT-014: SMR ASBESTOS ABATEMENT AWARD
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368927,200344,2025-06-10,2025,78320.0,FACILITY SUPPORT SERVICES LLC,SCT-014: SMR ASBESTOS ABATEMENT AWARD
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369308,200218,2025-06-10,2025,32728.0,OFFICEIMAGES INC,200218
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369589,200387,2025-06-10,2025,98219.0,"OKOS SOLUTIONS, LLC",200387
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369710,200311,2025-06-10,2025,292882.0,SNK ENTERPRISES INC,KS EARTHWORKS WA NO. 7
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344966,200346,2025-06-11,2025,184640.0,"FLUOR MARINE PROPULSION, LLC",CRAFT 1 FACILITY PRECONSTRUCTION SERVICES
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368865,200346,2025-06-11,2025,184640.0,MASCARO CONSTRUCTION CO LP,CRAFT 1 FACILITY PRECONSTRUCTION SERVICES
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344989,200434,2025-06-12,2025,46804.0,"FLUOR MARINE PROPULSION, LLC",DEGAUSSER SHREDDER
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369307,200434,2025-06-12,2025,46804.0,"DATA SECURITY, INC",DEGAUSSER SHREDDER
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10345002,200442,2025-06-13,2025,66645.0,"FLUOR MARINE PROPULSION, LLC",FY25 ITP ADDITIONAL SERVERS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369304,200199,2025-06-13,2025,516019.0,"PRIME MACHINE, INC.",LEGND STAND ASSEMBLY HARDWARE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369305,200443,2025-06-13,2025,56019.0,"V3GATE, LLC",200443
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369306,200442,2025-06-13,2025,66645.0,COLOSSAL CONTRACTING LLC,FY25 ITP ADDITIONAL SERVERS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344972,200335,2025-06-16,2025,387408.0,"FLUOR MARINE PROPULSION, LLC",RICKOVER FELLOWSHIP
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369303,200384,2025-06-16,2025,1422984.0,GRM KONTRACTING LLC,1717-536 -J BUILDING CRANE ACCESS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369647,200335,2025-06-16,2025,387408.0,GEORGIA TECH RESEARCH CORP,RICKOVER FELLOWSHIP
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344975,200091,2025-06-17,2025,63508.0,"FLUOR MARINE PROPULSION, LLC",FLUKE ELECTRONIC DEADWEIGHT TESTER
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368831,200482,2025-06-17,2025,774815.0,"INTEGRATED SOLUTIONS FOR SYSTEMS, INC.",CONTAINERIZED NITROGEN GENERATION PROJECT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369302,200009,2025-06-17,2025,139290.0,"TELEDYNE INSTRUMENTS, INC.",M290 VIP ENGINEERING MODEL CABLING
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369640,200091,2025-06-17,2025,63508.0,FLUKE ELECTRONICS CORP,FLUKE ELECTRONIC DEADWEIGHT TESTER
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344962,200520,2025-06-18,2025,52694.0,"FLUOR MARINE PROPULSION, LLC",CLEAN GAUGES FOR NTE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369301,200520,2025-06-18,2025,52694.0,STANDARD CALIBRATIONS INC,CLEAN GAUGES FOR NTE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369554,200448,2025-06-18,2025,30336.0,"SUNBELT RENTALS, INC",200448
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344965,200017,2025-06-19,2025,370500.0,"FLUOR MARINE PROPULSION, LLC",PIV LASERS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368807,200017,2025-06-19,2025,370500.0,"PHOTONICS INDUSTRIES INTERNATIONAL, INC",PIV LASERS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369300,200554,2025-06-19,2025,40091.0,"SAGE ENGINEERING ASSOCIATES, LLP",TOA-175 COMMISSIONING SERVICES BUILDING Q3 OVERHEAD UTILITY REROUTES AT THE KNOLLS LABORATORY
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344998,200173,2025-06-23,2025,40785.0,"FLUOR MARINE PROPULSION, LLC",B111 PROJECT 3 CONSOLETTES
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368682,200574,2025-06-23,2025,679725.0,"FITNESS ARTIST, LLC",EXERCISE PHYSIOLOGIST FOR KNOLLS AND KS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368786,200537,2025-06-23,2025,1496600.0,"O'CONNELL ELECTRIC COMPANY, INC.",Q3- UTILITY REROUTE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369296,200441,2025-06-23,2025,598875.0,"NAVARRO RESEARCH AND ENGINEERING, INC.",GES ENGINEER - RITTENHOUSE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369297,200572,2025-06-23,2025,393314.0,STERLING COMPUTERS CORPORATION,200572
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369298,200173,2025-06-23,2025,40785.0,COLOSSAL CONTRACTING LLC,B111 PROJECT 3 CONSOLETTES
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369299,200408,2025-06-23,2025,180000.0,"GLOBAL QUANTUM INTELLIGENCE, LLC",GLOBAL QUANTUM INTELLIGENCE USER LICENSE (SUBSCRIPTION � 3 YEARS)
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369704,200209,2025-06-23,2025,41661.0,"ENGINE SYSTEMS, INC.",RELEASE 34: PARTS (NON-INVENTORY) MASTER AGREEMENT FOR DIESEL ENGINE PARTS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10345009,200598,2025-06-24,2025,68040.0,"FLUOR MARINE PROPULSION, LLC",UNIVERSAL ROTATING DECK ASSEMBLY VENT PIPE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368967,200611,2025-06-24,2025,34356.0,SIEMENS GOVERNMENT TECHNOLOGIES INC,200611
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369293,200607,2025-06-24,2025,59000.0,"MIDWEST ENGINEERED SYSTEMS, INC.",200607
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369294,200608,2025-06-24,2025,50847.0,EASTERN POWER TECHNOLOGIES INC,200608
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369295,200598,2025-06-24,2025,68040.0,CAMBRIDGE VALLEY MACHINING INC,UNIVERSAL ROTATING DECK ASSEMBLY VENT PIPE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344963,200620,2025-06-25,2025,39999.0,"FLUOR MARINE PROPULSION, LLC",SCHENCK USA CORP.
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368965,200436,2025-06-25,2025,89037.0,"WILDFLOWER INTERNATIONAL, LTD.",MOTOROLA AVTEC ORDER
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369695,200620,2025-06-25,2025,39999.0,SCHENCK USA CORP.,200620
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344967,200036,2025-06-26,2025,21943142.0,"FLUOR MARINE PROPULSION, LLC",RECORDS DECLASSIFICATION REVIEW PROJECT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369290,200036,2025-06-26,2025,21943142.0,"HEXAGON US FEDERAL, INC",RECORDS DECLASSIFICATION REVIEW PROJECT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369291,200576,2025-06-26,2025,51191.0,"SAGE ENGINEERING ASSOCIATES, LLP",TOA-176 COMMISSIONING RADIO SYSTEM REPLACEMENT GPP
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369292,200635,2025-06-26,2025,65850.0,"V3GATE, LLC",200635
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344964,200609,2025-06-27,2025,86560.0,"FLUOR MARINE PROPULSION, LLC",RELEASE 18
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368840,200609,2025-06-27,2025,86560.0,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,RELEASE 18
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344969,200707,2025-06-30,2025,36036.0,"FLUOR MARINE PROPULSION, LLC",MRC REACH TOOLS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10345041,200707,2025-06-30,2025,36036.0,"FLUOR MARINE PROPULSION, LLC",MRC REACH TOOLS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368943,200707,2025-06-30,2025,36036.0,"ADVANCED PRECISION MACHINING, INC",MRC REACH TOOLS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369289,200695,2025-06-30,2025,38260.0,"REMOTE OCEAN SYSTEMS, INC.",PO ISSUED IN OFC FOR PO 152842 FOR LAST INVOICE TO BE PAID
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10345021,200734,2025-07-01,2025,33000.0,"FLUOR MARINE PROPULSION, LLC","ATLAS SCIENTIFIC, LLC"
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368692,200734,2025-07-01,2025,33000.0,ATLAS SCIENTIFIC LLC,200734
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369287,200700,2025-07-01,2025,93392.0,HUGHES CORP,CTC SHUNTS
