endpoint,record_date,classification_desc,amount_field,amount_usd,fiscal_year
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,76681817610.12,2024
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,45255860527.83,2024
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,55031643669.57,2024
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,387411032.4,2024
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,-28408179.66,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,1681713744.61,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,610337674.19,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,14578823956.13,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,28526897.55,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,73665935467.06,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,69342039807.94,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,-319497519.9,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,-82280689.37,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,1616056.99,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,25499774343.47,2024
mts_table_5,2024-09-30,Department of the Army,current_fytd_net_outly_amt,-853565.04,2024
mts_table_5,2024-09-30,Department of the Interior:,,,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,-161548868.69,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,3784953610.43,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,26548439375.36,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,29545345.74,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,81593061247.49,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,57473176463.02,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,24230613.03,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,63345779006.15,2024
